2026-03-06 17:21:48 | ContractAuditPipeline | INFO | Starting audit pipeline for contract C20260306-E27E
2026-03-06 17:21:48 | ContractAuditPipeline | INFO | Executing step 1/4: ContractFormatterStep
2026-03-06 17:22:15 | ContractAuditPipeline | ERROR | Step 1 failed: 'ThinkingBlock' object has no attribute 'text'
2026-03-06 17:33:08 | ContractAuditPipeline | INFO | Starting audit pipeline for contract C20260306-79D6
2026-03-06 17:33:08 | ContractAuditPipeline | INFO | Executing step 1/4: ContractFormatterStep
2026-03-06 17:33:46 | ContractAuditPipeline | ERROR | Step 1 failed: 'ThinkingBlock' object has no attribute 'text'
2026-03-06 19:35:39 | ContractAuditPipeline | INFO | Starting audit pipeline for contract C20260306-6F49
2026-03-06 19:35:39 | ContractAuditPipeline | INFO | Executing step 1/4: ContractFormatterStep
2026-03-06 19:36:01 | ContractAuditPipeline | ERROR | Step 1 failed: Expecting ',' delimiter: line 1 column 113 (char 112)
2026-03-06 19:40:16 | ContractAuditPipeline | INFO | Starting audit pipeline for contract C20260306-3DBD
2026-03-06 19:40:16 | ContractAuditPipeline | INFO | Executing step 1/4: ContractFormatterStep
2026-03-06 19:40:46 | ContractAuditPipeline | INFO | Executing step 2/4: LawSearchStep
2026-03-06 19:42:18 | ContractAuditPipeline | INFO | Executing step 3/4: RiskAnnotationStep
2026-03-06 19:42:55 | ContractAuditPipeline | ERROR | Step 3 failed: 'list' object has no attribute 'get'
2026-03-06 20:04:49 | ContractAuditPipeline | INFO | Starting audit pipeline for contract C20260306-28B3
2026-03-06 20:04:49 | ContractAuditPipeline | INFO | Executing step 1/4: ContractFormatterStep
2026-03-06 20:05:16 | ContractAuditPipeline | ERROR | Step 1 failed: Expecting ',' delimiter: line 10 column 41 (char 164)
2026-03-06 20:08:21 | ContractAuditPipeline | INFO | Starting audit pipeline for contract C20260306-006D
2026-03-06 20:08:21 | ContractAuditPipeline | INFO | Executing step 1/4: ContractFormatterStep
2026-03-06 20:08:50 | ContractAuditPipeline | ERROR | Step 1 failed: Expecting ',' delimiter: line 10 column 41 (char 164)
2026-03-06 20:13:07 | ContractAuditPipeline | INFO | Starting audit pipeline for contract C20260306-CCA3
2026-03-06 20:13:07 | ContractAuditPipeline | INFO | Executing step 1/4: ContractFormatterStep
2026-03-06 20:13:22 | ContractAuditPipeline | ERROR | Step 1 failed: Expecting ',' delimiter: line 1 column 117 (char 116)
2026-03-06 20:17:44 | ContractAuditPipeline | INFO | Starting audit pipeline for contract C20260306-DBAF
2026-03-06 20:17:44 | ContractAuditPipeline | INFO | Executing step 1/4: ContractFormatterStep
2026-03-06 20:18:06 | ContractAuditPipeline | ERROR | Step 1 failed: Expecting ',' delimiter: line 1 column 71 (char 70)
2026-03-06 20:19:50 | ContractAuditPipeline | INFO | Starting audit pipeline for contract C20260306-477E
2026-03-06 20:19:50 | ContractAuditPipeline | INFO | Executing step 1/4: ContractFormatterStep
2026-03-06 20:20:18 | ContractAuditPipeline | ERROR | Step 1 failed: Failed to parse JSON from: {"parties":["北京智云科技有限公司","上海代码工匠信息技术有限公司"],"clauses":[{"id":1,"title":"合同标的","content":"甲方委托乙方开发企业管理系统软件（以下简称"本软件"），包括用户管理模块、业务审批模块、数据统计模块和报表导出模块。"},{"id":2,"title":"开发周期","content":"本软件开发周期为六个月，自合同签订...
2026-03-06 20:25:53 | ContractAuditPipeline | INFO | Starting audit pipeline for contract C20260306-937A
2026-03-06 20:25:53 | ContractAuditPipeline | INFO | Executing step 1/4: ContractFormatterStep
2026-03-06 20:26:23 | ContractAuditPipeline | ERROR | Step 1 failed: Failed to parse JSON from: {"parties":["北京智云科技有限公司","上海代码工匠信息技术有限公司"],"clauses":[{"id":1,"title":"第一条 合同标的","content":"甲方委托乙方开发企业管理系统软件（以下简称"本软件"）,包括用户管理模块、业务审批模块、数据统计模块和报表导出模块。"},{"id":2,"title":"第二条 开发周期","content":"本软件开发周期为六...
2026-03-06 20:27:01 | ContractAuditPipeline | INFO | Starting audit pipeline for contract C20260306-F886
2026-03-06 20:27:01 | ContractAuditPipeline | INFO | Executing step 1/4: ContractFormatterStep
2026-03-06 20:27:25 | ContractAuditPipeline | INFO | Executing step 2/4: LawSearchStep
2026-03-06 20:27:33 | ContractAuditPipeline | ERROR | Step 2 failed: Failed to parse JSON from: \n{\n  "matched": false,\n  "law_name": null,\n  "article": null,\n  "issue": "合同条款中未引用任何法律条文"\n}\n...
2026-03-06 21:31:57 | ContractAuditPipeline | INFO | Starting audit pipeline for contract C20260306-739D
2026-03-06 21:31:57 | ContractAuditPipeline | INFO | Executing step 1/4: ContractFormatterStep
2026-03-06 21:32:33 | ContractAuditPipeline | INFO | Executing step 2/4: LawSearchStep
2026-03-06 21:33:37 | ContractAuditPipeline | INFO | Executing step 3/4: RiskAnnotationStep
2026-03-06 21:34:47 | ContractAuditPipeline | INFO | Executing step 4/4: CorrectionStep
2026-03-06 21:36:15 | ContractAuditPipeline | INFO | Pipeline completed for contract C20260306-739D
2026-03-06 21:51:56 | ContractAuditPipeline | INFO | Starting audit pipeline for contract C20260306-98CF
2026-03-06 21:51:56 | ContractAuditPipeline | INFO | Executing step 1/4: ContractFormatterStep
2026-03-06 21:52:22 | ContractAuditPipeline | INFO | Executing step 2/4: LawSearchStep
2026-03-06 21:53:16 | ContractAuditPipeline | INFO | Executing step 3/4: RiskAnnotationStep
2026-03-06 21:54:14 | ContractAuditPipeline | INFO | Executing step 4/4: CorrectionStep
2026-03-06 21:55:40 | ContractAuditPipeline | INFO | Pipeline completed for contract C20260306-98CF
2026-03-06 22:49:06 | ContractAuditPipeline | INFO | Starting audit pipeline for contract C20260306-BE6F
2026-03-06 22:49:06 | ContractAuditPipeline | INFO | Executing step 1/4: ContractFormatterStep
2026-03-06 22:49:41 | ContractAuditPipeline | INFO | Executing step 2/4: LawSearchStep
2026-03-06 22:50:44 | ContractAuditPipeline | INFO | Executing step 3/4: RiskAnnotationStep
2026-03-06 22:51:28 | ContractAuditPipeline | ERROR | Step 3 failed: 'list' object has no attribute 'get'
2026-03-08 16:28:37 | ContractAuditPipeline | INFO | Starting audit pipeline for contract C20260308-4CE2
2026-03-08 16:28:37 | ContractAuditPipeline | INFO | Executing step 1/4: ContractFormatterStep
2026-03-08 16:29:09 | ContractAuditPipeline | INFO | Executing step 2/4: LawSearchStep
2026-03-08 16:30:12 | ContractAuditPipeline | INFO | Executing step 3/4: RiskAnnotationStep
2026-03-08 16:31:18 | ContractAuditPipeline | ERROR | Step 3 failed: 'list' object has no attribute 'get'
2026-03-08 16:42:12 | ContractAuditPipeline | INFO | Starting audit pipeline for contract C20260308-46D8
2026-03-08 16:42:12 | ContractAuditPipeline | INFO | Executing step 1/4: ContractFormatterStep
2026-03-08 16:42:46 | ContractAuditPipeline | INFO | Executing step 2/4: LawSearchStep
2026-03-08 16:44:03 | ContractAuditPipeline | INFO | Executing step 3/4: RiskAnnotationStep
2026-03-08 16:45:47 | ContractAuditPipeline | INFO | Executing step 4/4: CorrectionStep
2026-03-08 16:46:36 | ContractAuditPipeline | INFO | Pipeline completed for contract C20260308-46D8
2026-03-08 17:09:37 | ContractAuditPipeline | INFO | Starting audit pipeline for contract C20260308-03C7
2026-03-08 17:09:37 | ContractAuditPipeline | INFO | Executing step 1/4: ContractFormatterStep
2026-03-08 17:10:05 | ContractAuditPipeline | INFO | Executing step 2/4: LawSearchStep
2026-03-08 17:10:58 | ContractAuditPipeline | INFO | Executing step 3/4: RiskAnnotationStep
2026-03-08 17:12:28 | ContractAuditPipeline | ERROR | Step 3 failed: Failed to parse JSON from: 
{
  "party": "双方",
  "issue_type": "违约金条款",
  "description": "条款1约定擅自解除合同的违约金为剩余租期租金总额的30%。根据《民法典》第五百八十五条，约定的违约金过分高于造成的损失的，当事人可以请求人民法院或者仲裁机构予以适当减少。司法实践中，违约金超过造成损失的30%一般可被认定为“过分高于”。本条款以“剩余租期租金总额”为基数，在...
2026-03-08 17:27:13 | ContractAuditPipeline | INFO | Starting audit pipeline for contract C20260308-B5C8
2026-03-08 17:27:13 | ContractAuditPipeline | INFO | Executing step 1/4: ContractFormatterStep
2026-03-08 17:27:47 | ContractAuditPipeline | INFO | Executing step 2/4: LawSearchStep
2026-03-08 17:28:54 | ContractAuditPipeline | INFO | Executing step 3/4: RiskAnnotationStep
2026-03-08 17:30:49 | ContractAuditPipeline | INFO | Executing step 4/4: CorrectionStep
2026-03-08 17:31:37 | ContractAuditPipeline | INFO | Pipeline completed for contract C20260308-B5C8
2026-03-08 17:55:48 | ContractAuditPipeline | INFO | Starting audit pipeline for contract C20260308-3770
2026-03-08 17:55:48 | ContractAuditPipeline | INFO | Executing step 1/4: ContractFormatterStep
2026-03-08 17:56:11 | ContractAuditPipeline | INFO | Executing step 2/4: LawSearchStep
2026-03-08 17:57:01 | ContractAuditPipeline | INFO | Executing step 3/4: RiskAnnotationStep
2026-03-08 17:57:54 | ContractAuditPipeline | INFO | Executing step 4/4: CorrectionStep
2026-03-08 17:58:59 | ContractAuditPipeline | INFO | Pipeline completed for contract C20260308-3770
2026-03-08 21:32:46 | ContractAuditPipeline | INFO | Starting audit pipeline for contract C20260308-C3DA
2026-03-08 21:32:46 | ContractAuditPipeline | INFO | Executing step 1/4: ContractFormatterStep
2026-03-08 21:33:15 | ContractAuditPipeline | INFO | Executing step 2/4: LawSearchStep
2026-03-08 21:34:06 | ContractAuditPipeline | INFO | Executing step 3/4: RiskAnnotationStep
2026-03-08 21:35:13 | ContractAuditPipeline | INFO | Executing step 4/4: CorrectionStep
2026-03-08 21:36:40 | ContractAuditPipeline | INFO | Pipeline completed for contract C20260308-C3DA
2026-03-08 21:36:40 | ContractAuditPipeline | INFO | Starting audit pipeline for contract C20260308-63C6
2026-03-08 21:36:40 | ContractAuditPipeline | INFO | Executing step 1/4: ContractFormatterStep
2026-03-08 21:37:09 | ContractAuditPipeline | INFO | Executing step 2/4: LawSearchStep
2026-03-08 21:38:03 | ContractAuditPipeline | INFO | Executing step 3/4: RiskAnnotationStep
2026-03-08 21:39:25 | ContractAuditPipeline | INFO | Executing step 4/4: CorrectionStep
2026-03-08 21:41:09 | ContractAuditPipeline | INFO | Pipeline completed for contract C20260308-63C6
2026-03-08 22:44:06 | ContractAuditPipeline | INFO | Starting audit pipeline for contract C20260308-40B5
