2026-03-06 17:21:48 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-06 17:21:48 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-06 17:22:15 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-06 17:33:08 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-06 17:33:08 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-06 17:33:46 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-06 19:35:39 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-06 19:35:39 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-06 19:36:01 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-06 19:40:16 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-06 19:40:16 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-06 19:42:55 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-06 20:04:49 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-06 20:04:49 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-06 20:05:16 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-06 21:31:57 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-06 21:31:57 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-06 21:36:15 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-06 21:51:56 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-06 21:51:56 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-06 21:55:40 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-06 22:49:06 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-06 22:49:06 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-06 22:51:28 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-08 16:28:37 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-08 16:28:37 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-08 16:31:18 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-08 16:42:12 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-08 16:42:12 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-08 16:46:36 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-08 17:09:37 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-08 17:09:37 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-08 17:12:28 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-08 17:27:13 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-08 17:27:13 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-08 17:31:37 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-08 17:55:48 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-08 17:55:48 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-08 17:58:59 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-08 21:32:46 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-08 21:32:46 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-08 21:36:40 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-08 21:36:40 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-08 21:36:40 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-08 21:41:09 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-08 22:44:06 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/朋辈评估 6月21日.txt
2026-03-08 22:44:06 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/朋辈评估 6月21日.txt
2026-03-08 22:45:27 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/朋辈评估 6月21日.txt
2026-03-08 22:56:16 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-08 22:56:16 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-08 23:01:27 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-08 23:02:52 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-08 23:02:52 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-08 23:05:39 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-08 23:05:39 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-08 23:07:43 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-08 23:30:50 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-08 23:30:50 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-08 23:33:10 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-09 00:03:34 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-09 00:03:34 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-09 00:05:06 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-09 00:08:01 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-09 00:08:01 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-09 00:10:06 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/房屋租赁合同.txt
2026-03-09 09:32:13 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/采购合同.txt
2026-03-09 09:32:13 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/采购合同.txt
2026-03-09 09:33:39 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/采购合同.txt
2026-03-09 10:18:49 | FileHandler | INFO | Extracting text from: /tmp/tmp9j3uir9_.txt
2026-03-09 10:18:49 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/test.txt
2026-03-09 10:18:49 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/test.txt
2026-03-09 10:20:25 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/test.txt
2026-03-09 10:41:47 | FileHandler | INFO | Extracting text from: /tmp/tmp58agmdm0.txt
2026-03-09 10:41:47 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-09 10:41:47 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-09 10:43:17 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-09 14:42:14 | FileHandler | INFO | Extracting text from: /tmp/tmp1a4xcy9k.txt
2026-03-09 14:42:14 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-09 14:42:14 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-09 14:43:51 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/软件开发服务合同.txt
2026-03-09 14:50:53 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/data/samples/测试合同.docx
2026-03-09 14:52:00 | FileHandler | INFO | Extracting text from: /tmp/tmpb8ah__e3.docx
2026-03-09 14:52:00 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/测试合同.docx
2026-03-09 14:52:00 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/测试合同.docx
2026-03-09 14:52:28 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/测试合同.docx
2026-03-09 15:21:08 | FileHandler | INFO | Extracting text from: /tmp/tmpm_29valv.docx
2026-03-09 15:21:08 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/测试合同_真实图片.docx
2026-03-09 15:21:08 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/测试合同_真实图片.docx
2026-03-09 15:21:21 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/测试合同_真实图片.docx
2026-03-09 15:31:18 | FileHandler | INFO | Extracting text from: /tmp/tmp_vz6gmal.docx
2026-03-09 15:31:18 | FileHandler | INFO | Saved uploaded file: /root/smart_contact_reviewer/uploads/测试合同_真实图片.docx
2026-03-09 15:31:18 | FileHandler | INFO | Extracting text from: /root/smart_contact_reviewer/uploads/测试合同_真实图片.docx
2026-03-09 15:31:32 | FileHandler | INFO | Cleaned up file: /root/smart_contact_reviewer/uploads/测试合同_真实图片.docx
