2026-03-08 22:56:16 | TaskManager | INFO | Created task acb5d5b3-c539-499c-a35b-b6b0fdfca09b for 房屋租赁合同.txt
2026-03-08 22:56:16 | TaskManager | INFO | Updated task acb5d5b3-c539-499c-a35b-b6b0fdfca09b: processing
2026-03-08 23:01:27 | TaskManager | INFO | Updated task acb5d5b3-c539-499c-a35b-b6b0fdfca09b: processing
2026-03-08 23:01:27 | TaskManager | INFO | Updated task acb5d5b3-c539-499c-a35b-b6b0fdfca09b: completed
2026-03-08 23:02:52 | TaskManager | INFO | Created task 24df1efd-be39-4d93-8db7-ac01559b3ee2 for 软件开发服务合同.txt
2026-03-08 23:02:52 | TaskManager | INFO | Updated task 24df1efd-be39-4d93-8db7-ac01559b3ee2: processing
2026-03-08 23:05:39 | TaskManager | INFO | Created task 2bb42ff5-55df-4909-bf9d-5ad9a43f9eac for 软件开发服务合同.txt
2026-03-08 23:05:39 | TaskManager | INFO | Updated task 2bb42ff5-55df-4909-bf9d-5ad9a43f9eac: processing
2026-03-08 23:07:43 | TaskManager | INFO | Updated task 24df1efd-be39-4d93-8db7-ac01559b3ee2: processing
2026-03-08 23:07:43 | TaskManager | INFO | Updated task 24df1efd-be39-4d93-8db7-ac01559b3ee2: completed
2026-03-08 23:10:26 | TaskManager | INFO | Updated task 2bb42ff5-55df-4909-bf9d-5ad9a43f9eac: processing
2026-03-08 23:10:26 | TaskManager | INFO | Updated task 2bb42ff5-55df-4909-bf9d-5ad9a43f9eac: completed
2026-03-08 23:30:50 | TaskManager | INFO | Created task 2f20fd08-6836-4a61-a775-a5d7348ed770 for 房屋租赁合同.txt
2026-03-08 23:30:50 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=0, message=开始审核合同...
2026-03-08 23:30:50 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=0, message=开始审核合同...
2026-03-08 23:30:50 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=5, message=正在解析合同结构...
2026-03-08 23:31:34 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=15, message=合同解析完成
2026-03-08 23:31:34 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=20, message=正在检索法律依据 (0/13)...
2026-03-08 23:31:37 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=21, message=正在检索法律依据 (1/13)...
2026-03-08 23:31:40 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=23, message=正在检索法律依据 (2/13)...
2026-03-08 23:31:41 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=25, message=正在检索法律依据 (3/13)...
2026-03-08 23:31:42 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=27, message=正在检索法律依据 (4/13)...
2026-03-08 23:31:42 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=29, message=正在检索法律依据 (5/13)...
2026-03-08 23:31:43 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=31, message=正在检索法律依据 (6/13)...
2026-03-08 23:31:47 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=33, message=正在检索法律依据 (7/13)...
2026-03-08 23:31:48 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=35, message=正在检索法律依据 (8/13)...
2026-03-08 23:31:49 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=37, message=正在检索法律依据 (9/13)...
2026-03-08 23:31:50 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=39, message=正在检索法律依据 (10/13)...
2026-03-08 23:31:51 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=41, message=正在检索法律依据 (11/13)...
2026-03-08 23:31:52 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=43, message=正在检索法律依据 (12/13)...
2026-03-08 23:31:56 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=45, message=正在检索法律依据 (13/13)...
2026-03-08 23:31:56 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=45, message=法律依据检索完成
2026-03-08 23:31:56 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=50, message=正在分析风险 (0/13)...
2026-03-08 23:31:58 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=51, message=正在分析风险 (1/13)...
2026-03-08 23:31:58 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=53, message=正在分析风险 (2/13)...
2026-03-08 23:31:58 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=54, message=正在分析风险 (3/13)...
2026-03-08 23:32:07 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=56, message=正在分析风险 (4/13)...
2026-03-08 23:32:08 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=57, message=正在分析风险 (5/13)...
2026-03-08 23:32:10 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=59, message=正在分析风险 (6/13)...
2026-03-08 23:32:12 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=60, message=正在分析风险 (7/13)...
2026-03-08 23:32:12 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=62, message=正在分析风险 (8/13)...
2026-03-08 23:32:13 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=63, message=正在分析风险 (9/13)...
2026-03-08 23:32:29 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=65, message=正在分析风险 (10/13)...
2026-03-08 23:32:29 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=66, message=正在分析风险 (11/13)...
2026-03-08 23:32:39 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=68, message=正在分析风险 (12/13)...
2026-03-08 23:32:46 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=70, message=正在分析风险 (13/13)...
2026-03-08 23:32:46 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=70, message=风险分析完成
2026-03-08 23:32:46 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=75, message=正在生成修改建议 (0/6)...
2026-03-08 23:32:53 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=78, message=正在生成修改建议 (1/6)...
2026-03-08 23:32:55 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=81, message=正在生成修改建议 (2/6)...
2026-03-08 23:32:57 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=85, message=正在生成修改建议 (3/6)...
2026-03-08 23:32:58 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=88, message=正在生成修改建议 (4/6)...
2026-03-08 23:33:02 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=91, message=正在生成修改建议 (5/6)...
2026-03-08 23:33:10 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=95, message=正在生成修改建议 (6/6)...
2026-03-08 23:33:10 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=95, message=修改建议生成完成
2026-03-08 23:33:10 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=processing, progress=100, message=审核完成
2026-03-08 23:33:10 | TaskManager | INFO | Updated task 2f20fd08-6836-4a61-a775-a5d7348ed770: status=completed, progress=100, message=None
